bg,eq_BG,CGM_glucose,running_temp,rate,IOB,unsafe_action_reason
60,65,60.0,0,3.38,-0.1,Null
60,51,60,3.38,3.38,0.2,Null
60,41,60,3.38,3.38,0.449,Null
60,32,60,3.38,3.38,0.646,Null
60,22,60,3.38,3.38,0.89,Null
59.99,14,59.98845185130302,3.38,3.38,1.081,Null
59.95,5,59.94614995390782,3.38,3.38,1.317,Null
59.85,-3,59.849298791257056,3.38,3.38,1.498,Null
59.67,-12,59.67197443419879,3.38,3.38,1.723,Null
59.39,-19,59.38814593974558,3.38,3.38,1.893,Null
58.97,-28,58.97336642723211,3.38,3.38,2.106,Null
58.41,-34,58.40619424615922,3.38,3.38,2.264,Null
57.67,-43,57.66936658080506,3.38,3.38,2.464,Null
56.75,-50,56.75072218271517,3.38,3.38,2.607,Null
55.64,-59,55.64385621501174,3.38,3.38,2.794,Null
54.35,-65,54.3484871531682,3.38,3.38,2.924,Null
52.87,-73,52.870521512133315,3.38,3.38,3.097,Null
51.22,-79,51.221814647016124,3.38,3.38,3.212,Null
49.42,-85,49.419642487699164,3.38,3.38,3.321,Null
47.49,-93,47.48591715560797,3.38,3.38,3.474,Null
45.45,-100,45.44619638484277,3.38,3.38,3.62,Null
43.33,-106,43.32855026078082,3.38,3.38,3.709,Null
41.16,-113,41.162357279508406,3.38,3.38,3.84,Null
40,46,39.99787415926194,3.38,3.38,0,Null
41.09,37,41.087763024277834,3.38,3.38,0.25,Null
42.2,27,42.19971403924965,3.38,3.38,0.498,Null
43.33,20,43.33368504596947,3.38,3.38,0.694,Null
44.48,11,44.48017900294198,3.38,3.38,0.938,Null
45.62,5,45.622405177088226,3.38,3.38,1.127,Null
46.74,-4,46.73806514802152,3.38,3.38,1.361,Null
47.8,-9,47.80090135465813,3.38,3.38,1.541,Null
48.78,-17,48.782118791977794,3.38,3.38,1.765,Null
49.65,-22,49.65175373124324,3.38,3.38,1.933,Null
50.38,-31,50.3800259725115,3.38,3.38,2.146,Null
50.94,-37,50.93867740457506,3.38,3.38,2.301,Null
51.3,-44,51.30227173524209,3.38,3.38,2.5,Null
51.45,-50,51.44940951058645,3.38,3.38,2.642,Null
51.36,-58,51.36379988896672,3.38,3.38,2.827,Null
51.04,-64,51.03512659300113,3.38,3.38,2.956,Null
50.46,-71,50.45965000740606,3.38,3.38,3.127,Null
49.64,-77,49.64049981640773,3.38,3.38,3.241,Null
48.59,-84,48.58763143252735,3.38,3.38,3.398,Null
47.32,-90,47.31744263230113,3.38,3.38,3.499,Null
45.85,-97,45.85207167214965,3.38,3.38,3.644,Null
44.22,-103,44.21842190615324,3.38,3.38,3.729,Null
42.45,-109,42.44697791885418,3.38,3.38,3.86,Null
40.57,-114,40.57049226518789,3.38,3.38,3.935,Null
39.7,46,39.69673184470938,3.38,3.38,0,Null
40.73,35,40.729795826207955,3.38,3.38,0.25,Null
41.79,26,41.78534712833194,3.38,3.38,0.498,Null
